index,V1_0-4,V1_5-15,V1_16-19,V1_20-59,V1_60+,V1_Risk_16-19,V1_Risk_20-59,V1_Risk_60+,V1_Clinical,V1_Crowded,V1_Disabled,V1_Edu,V1_Ethnic,V1_Factory,V1_Frontline,V1_Healthcare,V1_Military,V1_Shielding,V1_Police,V1_Pregnant,V1_PrimaryStu,V1_Religious,V1_Residents,V1_CareStaff,V1_TertiaryStu,V3_0-4,V3_5-19,V3_20-59,V3_60+,V3_Risk_16-19,V3_Risk_20-59,V3_Risk_60+,V3_Airport,V3_Clinically,V3_EduStu,V3_HighContact,V3_Multi,V3_Pregnant,V3_PrimaryStu,V1_IssuePoint,V2_H7_IssuePoint,V3_IssuePoint,VacCategory,VacDailySmoothed,CHI,GRI,SI,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,weekly_cases,biweekly_cases,reproduction_rate,daily_ people_1_dose,total_vaccinations,people_1_dose,people_2_doses,people_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
20210130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,766148,77.02,75.21,78.24,92,75.857,0,0.143,531,1295,0.69,,,,,,,,
20210131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,651673,77.02,75.21,78.24,42,64.143,0,0.143,449,1228,0.64,,24000000,,,,,,
20210201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,836020,77.02,75.21,78.24,30,56.714,0,0,397,1140,0.6,,,,,,,,
20210202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,1020367,77.02,75.21,78.24,25,49.571,0,0,347,1062,0.56,,,,,,,,
20210203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,1204714,77.02,75.21,78.24,30,46.143,0,0,323,948,0.54,,31200000,,,,,,
20210204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,1382583,77.02,75.21,78.24,20,41.571,0,0,291,858,0.52,,,,,,,,
20210205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,1560452,77.02,75.21,78.24,12,35.857,0,0,251,770,0.51,,,,,,,,
20210206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,1738321,77.02,75.21,78.24,11,24.286,0,0,170,701,0.49,,,,,,,,
20210207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,1916190,77.02,75.21,78.24,14,20.286,0,0,142,591,0.5,,,,,,,,
20210208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,1795238,77.02,75.21,78.24,14,18,0,0,126,523,0.51,,,,,,,,
20210209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,1674286,77.02,75.21,78.24,14,16.429,0,0,115,462,0.52,,40520000,,,,,,
20210210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,1,,1421654,77.02,75.21,78.24,2,12.429,0,0,87,410,0.51,,,,,,,,
20210211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,1289975,77.02,75.21,78.24,12,11.286,0,0,79,370,0.52,,,,,,,,
20210212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,1158296,77.02,75.21,78.24,8,10.714,0,0,75,326,0.51,,,,,,,,
20210213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,1026617,77.02,75.21,78.24,7,10.143,0,0,71,241,0.51,,,,,,,,
20210214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,894937,77.02,75.21,78.24,9,9.429,0,0,66,208,0.52,,,,,,,,
20210215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,763258,77.02,75.21,78.24,16,9.714,0,0,68,194,0.55,,,,,,,,
20210216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,77.02,75.21,78.24,7,8.714,0,0,61,176,0.58,,,,,,,,
20210217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,77.02,75.21,78.24,11,10,0,0,70,157,0.63,,,,,,,,
20210218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,77.02,75.21,78.24,10,9.714,0,0,68,147,0.65,,,,,,,,
20210219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,77.02,75.21,78.24,8,9.714,0,0,68,143,0.68,,,,,,,,
20210220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,77.02,75.21,78.24,7,9.714,0,0,68,139,0.73,,,,,,,,
20210221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,631579,77.02,75.21,78.24,11,10,0,0,70,136,0.79,,,,,,,,
